"pt_ID","invOpen","invTotAssets","invTotContr","TrHonour","TrDisrupt","TrRetal","TrRepair","Drel_fI_tot","Drel_fT_tot","respMag","respAng"
"10728",20.000,275.000,190.000,1.000,0.000,0.250,0.750,-0.500,-0.752,0.129,-123.614
"10736",7.000,226.000,119.000,1.000,0.000,0.750,0.250,0.565,-0.100,0.082,-10.061
"10744",10.000,203.000,100.000,0.750,0.250,0.500,0.500,-0.410,-0.641,0.109,-122.628
"10752",10.000,199.000,75.000,0.333,0.667,0.600,0.400,-1.342,-0.786,0.222,-149.635
"10778",20.000,276.000,194.000,1.000,0.000,0.500,0.500,0.700,-0.751,0.147,-47.019
"10794",9.000,199.000,91.000,0.333,0.667,0.400,0.600,-0.421,-0.674,0.113,-121.993
"10801",5.000,262.000,136.000,0.500,0.500,0.000,1.000,1.831,-0.079,0.262,-2.461
"10819",5.000,200.000,43.000,0.333,0.667,0.333,0.667,-1.720,-0.511,0.256,-163.449
"10827",2.000,185.000,28.000,0.750,0.250,0.500,0.500,-1.275,-1.842,0.320,-124.693
"10843",7.000,206.000,103.000,0.667,0.333,0.400,0.600,0.228,-0.343,0.059,-56.424
"10869",10.000,265.000,159.000,0.750,0.250,0.000,1.000,2.436,-0.046,0.348,-1.080
"10877",9.000,207.000,86.000,0.500,0.500,0.250,0.750,-0.113,-0.565,0.082,-101.342
"10893",4.000,240.000,121.000,0.750,0.250,0.250,0.750,1.604,-0.093,0.229,-3.327
"10900",20.000,276.000,189.000,1.000,0.000,0.250,0.750,-0.550,-0.752,0.133,-126.176
"10918",5.000,189.000,66.000,1.000,0.000,0.400,0.600,0.317,-1.285,0.189,-76.133
"10975",20.000,279.000,190.000,1.000,0.000,0.333,0.667,0.500,-0.352,0.087,-35.123
"10983",15.000,276.000,188.000,1.000,0.000,0.000,1.000,1.250,-0.350,0.185,-15.657
"11049",14.000,229.000,145.000,0.600,0.400,0.667,0.333,0.385,-0.016,0.055,-2.332
"11064",5.000,206.000,52.000,1.000,0.000,0.600,0.400,-0.899,-1.296,0.225,-124.737
"11171",10.000,245.000,124.000,0.750,0.250,0.500,0.500,0.159,-0.304,0.049,-62.350
"11239",8.000,223.000,124.000,0.750,0.250,0.250,0.750,1.919,-1.102,0.316,-29.858
"11262",12.000,252.000,142.000,0.750,0.250,0.500,0.500,1.489,-0.197,0.215,-7.519
"11296",8.000,195.000,92.000,0.333,0.667,0.400,0.600,-0.546,-0.808,0.139,-124.050
"11304",14.000,247.000,171.000,0.750,0.250,0.500,0.500,2.617,0.014,0.374,0.312
"11312",10.000,254.000,153.000,0.800,0.200,0.333,0.667,1.164,0.023,0.166,1.152
"11320",8.000,200.000,53.000,0.000,1.000,0.500,0.500,-1.294,-1.547,0.288,-129.913
"11338",5.000,212.000,55.000,0.667,0.333,0.400,0.600,-1.233,-0.839,0.213,-145.755
"11403",6.000,183.000,65.000,0.500,0.500,0.667,0.333,-1.236,-0.492,0.190,-158.296
"11429",3.000,190.000,29.000,1.000,0.000,0.600,0.400,-1.344,-1.656,0.305,-129.058
"11460",13.000,279.000,172.000,1.000,0.000,0.250,0.750,2.036,0.015,0.291,0.432
"11486",15.000,223.000,153.000,1.000,0.000,0.500,0.500,-0.167,-0.348,0.055,-115.593
"11544",8.000,195.000,74.000,0.500,0.500,0.500,0.500,-0.633,-1.277,0.204,-116.386
"11551",8.000,201.000,88.000,0.333,0.667,0.400,0.600,-0.523,-1.327,0.204,-111.535
"11619",10.000,208.000,112.000,0.500,0.500,0.250,0.750,0.085,-0.529,0.077,-80.876
"11627",3.000,180.000,49.000,0.333,0.667,0.400,0.600,-0.632,-2.208,0.328,-105.973
"11635",7.000,196.000,83.000,0.750,0.250,0.500,0.500,-0.387,-0.529,0.094,-126.169
"11718",5.000,198.000,41.000,0.500,0.500,0.333,0.667,-0.583,-1.339,0.209,-113.518
"11759",10.000,189.000,89.000,1.000,0.000,0.600,0.400,-0.486,-0.960,0.154,-116.884
"11767",10.000,214.000,127.000,1.000,0.000,0.500,0.500,1.068,-0.447,0.165,-22.695
"11858",10.000,209.000,104.000,0.500,0.500,0.250,0.750,0.456,-0.662,0.115,-55.474
"11874",7.000,202.000,92.000,0.000,1.000,0.200,0.800,-0.185,-0.625,0.093,-106.466
"11882",3.000,201.000,74.000,1.000,0.000,0.600,0.400,0.124,-0.539,0.079,-77.020
"11932",5.000,193.000,62.000,1.000,0.000,0.143,0.857,0.089,-1.259,0.180,-85.962
"11940",3.000,187.000,49.000,0.333,0.667,0.333,0.667,-1.540,-1.741,0.332,-131.500
"11965",5.000,192.000,52.000,0.000,1.000,0.429,0.571,-1.730,-2.252,0.406,-127.544
"11981",5.000,212.000,83.000,1.000,0.000,0.200,0.800,0.033,-0.626,0.090,-86.952
"12005",10.000,249.000,139.000,0.800,0.200,0.000,1.000,0.721,-0.002,0.103,-0.138
"12013",5.000,203.000,49.000,1.000,0.000,0.400,0.600,-0.366,-1.068,0.161,-108.931
"12070",5.000,202.000,63.000,0.667,0.333,0.800,0.200,-1.642,-1.447,0.313,-138.607
"12096",10.000,212.000,115.000,0.500,0.500,0.250,0.750,0.358,-0.724,0.115,-63.704
"12161",5.000,228.000,103.000,0.333,0.667,0.400,0.600,-0.156,-0.949,0.137,-99.362
"12195",8.000,217.000,81.000,0.667,0.333,0.600,0.400,-0.200,-0.594,0.090,-108.595
"12203",10.000,208.000,106.000,1.000,0.000,0.750,0.250,-0.424,-0.462,0.090,-132.587
"12211",7.000,181.000,67.000,0.667,0.333,0.200,0.800,0.084,-1.632,0.233,-87.051
"12260",7.000,201.000,75.000,1.000,0.000,0.600,0.400,-0.382,-0.815,0.129,-115.132
"12302",8.000,226.000,113.000,0.667,0.333,0.400,0.600,0.706,-0.503,0.124,-35.462
"12310",5.000,213.000,109.000,0.750,0.250,0.250,0.750,0.406,-0.537,0.096,-52.899
"12385",12.000,264.000,147.000,0.750,0.250,0.250,0.750,0.814,-0.094,0.117,-6.619
"12393",14.000,197.000,101.000,0.500,0.500,0.500,0.500,-0.588,-0.746,0.136,-128.250
"12401",15.000,198.000,111.000,1.000,0.000,0.571,0.429,-0.587,-1.436,0.222,-112.248
"12435",10.000,200.000,58.000,0.667,0.333,1.000,0.000,-1.811,-0.850,0.286,-154.849
"12500",5.000,203.000,44.000,1.000,0.000,0.667,0.333,-1.437,-1.203,0.268,-140.052
"12526",20.000,254.000,143.000,0.500,0.500,0.500,0.500,1.154,-0.659,0.190,-29.733
"12534",10.000,245.000,121.000,0.400,0.600,0.000,1.000,0.281,-0.590,0.093,-64.526
"12542",8.000,208.000,110.000,0.333,0.667,0.400,0.600,0.757,-0.777,0.155,-45.753
"12567",6.000,231.000,106.000,1.000,0.000,0.600,0.400,0.533,-0.397,0.095,-36.657
"12591",10.000,259.000,151.000,1.000,0.000,0.500,0.500,1.448,-0.090,0.207,-3.540
"12658",5.000,210.000,104.000,0.667,0.333,0.400,0.600,0.676,-0.604,0.129,-41.787
"12682",13.000,266.000,144.000,0.500,0.500,0.750,0.250,0.023,-0.066,0.010,-70.873
"12690",13.000,251.000,162.000,1.000,0.000,0.667,0.333,1.004,-0.276,0.149,-15.380
"12757",5.000,184.000,70.000,0.500,0.500,0.500,0.500,-1.227,-1.933,0.327,-122.410
"12773",5.000,201.000,43.000,1.000,0.000,0.714,0.286,-1.918,-2.333,0.431,-129.434
"12799",12.000,256.000,148.000,0.750,0.250,0.250,0.750,1.410,-0.100,0.202,-4.074
"12831",9.000,195.000,92.000,0.600,0.400,0.667,0.333,-0.181,-0.704,0.104,-104.381
"12849",10.000,245.000,111.000,0.750,0.250,0.750,0.250,-0.856,-0.117,0.123,-172.240
"12948",10.000,215.000,104.000,0.667,0.333,0.800,0.200,-0.462,-0.354,0.083,-142.530
"13045",12.000,223.000,110.000,1.000,0.000,0.667,0.333,-0.288,-0.601,0.095,-115.613
"13078",4.000,208.000,65.000,0.250,0.750,0.500,0.500,-0.857,-0.372,0.134,-156.522
"13128",14.000,249.000,138.000,1.000,0.000,0.500,0.500,1.564,0.248,0.226,9.014
"13144",15.000,198.000,71.000,0.750,0.250,0.500,0.500,-1.566,-2.052,0.369,-127.361
"13151",10.000,203.000,104.000,0.667,0.333,0.600,0.400,-0.115,-0.509,0.075,-102.707
"13169",12.000,231.000,148.000,0.600,0.400,0.667,0.333,1.376,-0.351,0.203,-14.319
"13177",10.000,227.000,114.000,0.667,0.333,0.600,0.400,1.195,-0.385,0.179,-17.864
"13243",6.000,183.000,55.000,0.333,0.667,0.400,0.600,-0.855,-1.378,0.232,-121.809
"13276",5.000,206.000,44.000,1.000,0.000,0.400,0.600,-1.107,-2.024,0.330,-118.668
"13284",10.000,190.000,82.000,0.500,0.500,0.500,0.500,-0.798,-0.803,0.162,-134.818
"13300",7.000,203.000,91.000,1.000,0.000,0.400,0.600,-0.009,-0.449,0.064,-91.159
"13441",10.000,195.000,85.000,1.000,0.000,0.833,0.167,-0.830,-1.055,0.192,-128.178
"13458",12.000,237.000,144.000,1.000,0.000,0.500,0.500,0.930,-0.301,0.140,-17.921
"13615",3.000,195.000,48.000,1.000,0.000,0.667,0.333,-0.694,-1.539,0.241,-114.260
"13698",15.000,257.000,150.000,0.750,0.250,0.500,0.500,1.881,-0.274,0.272,-8.283
"13706",8.000,189.000,67.000,1.000,0.000,0.800,0.200,-1.736,-1.764,0.353,-134.537
"13979",10.000,227.000,90.000,0.667,0.333,0.600,0.400,-0.221,-0.647,0.098,-108.884
"13995",12.000,287.000,161.000,1.000,0.000,0.000,1.000,2.593,-0.035,0.370,-0.779
"14001",10.000,224.000,98.000,0.500,0.500,1.000,0.000,-1.249,-0.547,0.195,-156.362
"14027",7.000,194.000,58.000,0.600,0.400,0.333,0.667,-0.869,-0.582,0.149,-146.197
"14092",10.000,285.000,155.000,0.600,0.400,0.333,0.667,-0.125,0.156,0.029,128.793
"14100",10.000,227.000,134.000,0.500,0.500,0.250,0.750,1.629,-0.225,0.235,-7.861
"14118",13.000,229.000,133.000,0.500,0.500,0.000,1.000,0.683,-1.491,0.234,-65.384
"14159",15.000,252.000,150.000,0.500,0.500,0.000,1.000,1.785,-0.193,0.257,-6.161
"14175",10.000,192.000,65.000,1.000,0.000,0.600,0.400,-1.093,-1.696,0.288,-122.794
"14266",11.000,200.000,95.000,0.750,0.250,0.250,0.750,0.052,-0.617,0.088,-85.227
"14282",11.000,222.000,104.000,0.167,0.833,0.500,0.500,-1.202,-0.297,0.177,-166.104
"14373",14.000,206.000,136.000,0.667,0.333,0.000,1.000,1.974,-1.126,0.325,-29.698
"14399",6.000,267.000,143.000,0.500,0.500,0.250,0.750,2.808,-0.162,0.402,-3.301
"14449",6.000,203.000,91.000,1.000,0.000,0.500,0.500,-0.764,-0.895,0.168,-130.491
"14464",8.000,197.000,85.000,0.667,0.333,0.600,0.400,-0.990,-1.253,0.228,-128.333
"14506",6.000,183.000,82.000,0.500,0.500,0.500,0.500,-0.644,-1.654,0.254,-111.285
"14522",5.000,191.000,68.000,0.667,0.333,0.400,0.600,-0.787,-1.181,0.203,-123.662
"14548",5.000,217.000,90.000,0.500,0.500,0.500,0.500,-0.217,-0.767,0.114,-105.767
"14563",14.000,205.000,125.000,0.500,0.500,0.333,0.667,0.010,-0.306,0.044,-88.146
"14589",7.000,181.000,91.000,0.400,0.600,0.333,0.667,-0.394,-0.829,0.131,-115.434
"14597",20.000,258.000,180.000,1.000,0.000,0.667,0.333,1.000,-0.408,0.154,-22.194
"14852",6.000,184.000,55.000,0.333,0.667,0.400,0.600,-0.890,-0.990,0.190,-131.949
"14878",5.000,202.000,74.000,1.000,0.000,0.333,0.667,-0.275,-1.687,0.244,-99.259
"15032",12.000,207.000,110.000,0.000,1.000,0.000,1.000,0.999,-1.140,0.216,-48.766
"15057",10.000,221.000,105.000,0.750,0.250,0.500,0.500,0.030,-0.329,0.047,-84.833
"15065",9.000,230.000,132.000,0.500,0.500,0.500,0.500,1.063,-0.396,0.162,-20.435
"15099",13.000,249.000,139.000,0.750,0.250,0.250,0.750,0.280,-0.173,0.047,-31.709
"15115",10.000,210.000,111.000,0.500,0.500,0.250,0.750,1.300,-0.430,0.196,-18.318
"15198",12.000,270.000,163.000,1.000,0.000,0.000,1.000,1.733,-0.059,0.248,-1.965
"15230",4.000,196.000,41.000,0.667,0.333,0.800,0.200,-1.857,-0.828,0.290,-155.970
"15263",20.000,275.000,190.000,1.000,0.000,0.250,0.750,-0.500,-0.752,0.129,-123.614
"15289",5.000,219.000,94.000,0.500,0.500,0.500,0.500,-0.928,-0.942,0.189,-134.574
"15370",12.000,264.000,161.000,1.000,0.000,0.250,0.750,2.050,-0.320,0.296,-8.868
"15396",10.000,218.000,106.000,0.667,0.333,0.200,0.800,-0.486,-0.562,0.106,-130.839
"15420",1.000,197.000,21.000,0.833,0.167,1.000,0.000,-1.645,-0.639,0.252,-158.772
"15438",10.000,218.000,98.000,1.000,0.000,0.200,0.800,0.143,-0.692,0.101,-78.338
"15552",15.000,230.000,148.000,0.333,0.667,0.400,0.600,0.870,-0.665,0.156,-37.389
"15560",12.000,213.000,72.000,0.250,0.750,0.500,0.500,-1.093,-0.822,0.195,-143.048
"15602",5.000,224.000,93.000,1.000,0.000,0.667,0.333,0.626,-0.602,0.124,-43.902
"15636",15.000,223.000,121.000,0.750,0.250,0.500,0.500,0.238,-1.137,0.166,-78.158
"15743",12.000,214.000,95.000,0.500,0.500,0.667,0.333,-0.568,-0.817,0.142,-124.829
"15842",20.000,287.000,178.000,0.750,0.250,0.250,0.750,-1.050,-0.510,0.167,-154.073
"15859",12.000,214.000,114.000,0.333,0.667,0.200,0.800,0.583,-0.471,0.107,-38.912
"15875",10.000,211.000,106.000,1.000,0.000,0.400,0.600,0.017,-0.574,0.082,-88.274
"15958",20.000,285.000,176.000,1.000,0.000,0.400,0.600,-0.100,-0.526,0.077,-100.756
"16121",7.000,204.000,82.000,0.600,0.400,0.000,1.000,-0.305,-0.257,0.057,-139.898
"16147",10.000,215.000,88.000,1.000,0.000,0.800,0.200,-0.023,-0.461,0.066,-92.908
"16220",5.000,228.000,130.000,0.500,0.500,0.250,0.750,1.167,-0.368,0.175,-17.503
"16261",7.000,184.000,83.000,1.000,0.000,0.750,0.250,-0.104,-0.871,0.125,-96.786
"16279",10.000,218.000,86.000,0.000,1.000,0.429,0.571,-1.378,-0.659,0.218,-154.442
"16345",4.000,199.000,21.000,1.000,0.000,1.000,0.000,-2.658,-1.663,0.448,-147.977
"16360",5.000,197.000,53.000,1.000,0.000,0.750,0.250,-0.408,-1.619,0.239,-104.155
"16402",11.000,222.000,118.000,1.000,0.000,0.429,0.571,-0.161,-0.435,0.066,-110.263
"16436",12.000,211.000,106.000,0.667,0.333,0.600,0.400,-0.468,-0.870,0.141,-118.274
"16451",15.000,228.000,132.000,0.400,0.600,0.333,0.667,1.225,-0.491,0.188,-21.842
"16519",12.000,222.000,103.000,1.000,0.000,0.500,0.500,-0.113,-0.533,0.078,-101.949
"16568",10.000,189.000,62.000,1.000,0.000,0.833,0.167,-0.944,-1.435,0.245,-123.341
"16584",2.000,188.000,24.000,0.600,0.400,0.333,0.667,-1.603,-1.291,0.294,-141.165
"16592",8.000,238.000,126.000,0.800,0.200,0.333,0.667,1.384,-0.250,0.201,-10.223
"16600",10.000,251.000,139.000,1.000,0.000,0.500,0.500,1.192,-0.043,0.170,-2.070
"16618",15.000,217.000,113.000,0.333,0.667,0.400,0.600,-0.373,-0.617,0.103,-121.142
"16634",6.000,211.000,81.000,0.667,0.333,0.400,0.600,-0.201,-1.054,0.153,-100.786
"16642",12.000,259.000,161.000,0.750,0.250,0.250,0.750,0.752,-0.110,0.109,-8.283
"16733",20.000,280.000,180.000,1.000,0.000,0.250,0.750,-1.000,-0.752,0.179,-143.051
"16790",10.000,238.000,152.000,1.000,0.000,0.800,0.200,1.195,-0.181,0.173,-8.626
"16832",6.000,184.000,55.000,0.667,0.333,0.600,0.400,-1.474,-1.958,0.350,-126.968
"16907",20.000,274.000,187.000,1.000,0.000,0.250,0.750,0.350,-0.530,0.091,-56.581
"16964",12.000,200.000,112.000,1.000,0.000,0.667,0.333,-0.400,-0.998,0.154,-111.842
"17004",8.000,211.000,89.000,0.333,0.667,0.600,0.400,-0.668,-0.839,0.153,-128.525
"17046",12.000,254.000,157.000,0.500,0.500,0.500,0.500,2.020,-0.067,0.289,-1.902
"17095",20.000,299.000,194.000,1.000,0.000,0.750,0.250,1.745,-0.249,0.252,-8.133
"17103",10.000,261.000,175.000,1.000,0.000,0.333,0.667,0.750,-0.252,0.113,-18.605
"17285",5.000,195.000,38.000,0.000,1.000,0.500,0.500,-2.165,-1.931,0.414,-138.264
"17392",5.000,287.000,165.000,0.800,0.200,0.000,1.000,1.367,0.001,0.195,0.040
"17491",5.000,230.000,118.000,1.000,0.000,0.333,0.667,1.108,-0.541,0.176,-26.035
"17558",4.000,177.000,54.000,1.000,0.000,0.600,0.400,-0.789,-2.468,0.370,-107.736
"17657",15.000,246.000,165.000,0.667,0.333,0.200,0.800,1.500,-0.273,0.218,-10.307
"17715",20.000,280.000,179.000,1.000,0.000,0.250,0.750,0.000,-0.752,0.107,-90.000
"17830",5.000,213.000,69.000,1.000,0.000,0.500,0.500,-0.887,-1.000,0.191,-131.563
"17947",11.000,248.000,154.000,0.500,0.500,0.167,0.833,0.933,-0.100,0.134,-6.133
"17954",5.000,203.000,69.000,0.333,0.667,0.400,0.600,-0.665,-0.917,0.162,-125.958
"18010",2.000,189.000,24.000,1.000,0.000,0.600,0.400,-1.325,-2.600,0.417,-117.007
"18051",15.000,259.000,181.000,1.000,0.000,0.500,0.500,2.267,-0.375,0.328,-9.400
"18077",5.000,216.000,70.000,0.500,0.500,0.400,0.600,-1.263,-0.652,0.203,-152.691
"18093",20.000,284.000,200.000,1.000,0.000,0.000,1.000,0.000,-0.752,0.107,-90.000
"18101",15.000,255.000,142.000,0.250,0.750,0.250,0.750,0.423,-0.439,0.087,-46.064
"18127",20.000,277.000,195.000,1.000,0.000,0.250,0.750,-0.250,-0.752,0.113,-108.386
"18150",10.000,202.000,75.000,0.333,0.667,0.400,0.600,-1.329,-1.260,0.262,-136.535
"18168",5.000,206.000,70.000,0.000,1.000,0.200,0.800,-0.535,-1.671,0.251,-107.741
"18333",5.000,213.000,75.000,0.750,0.250,0.250,0.750,-0.062,-0.593,0.085,-95.936
"18416",12.000,218.000,107.000,1.000,0.000,0.500,0.500,-0.111,-0.404,0.060,-105.395
"18556",10.000,214.000,107.000,0.667,0.333,0.600,0.400,-0.421,-0.596,0.104,-125.275
"18598",20.000,248.000,117.000,0.500,0.500,0.750,0.250,-1.604,-1.107,0.278,-145.376
"18606",15.000,247.000,142.000,1.000,0.000,0.833,0.167,0.671,-0.548,0.124,-39.245
"18754",7.000,236.000,123.000,0.833,0.167,0.000,1.000,1.360,0.167,0.196,6.981
"18770",13.000,240.000,156.000,1.000,0.000,0.667,0.333,1.536,-0.427,0.228,-15.539
"18804",9.000,210.000,108.000,0.333,0.667,0.400,0.600,0.132,-0.515,0.076,-75.587
"18978",10.000,199.000,71.000,0.500,0.500,0.500,0.500,-0.856,-1.628,0.263,-117.718
"19000",12.000,243.000,131.000,0.667,0.333,0.400,0.600,1.235,-0.200,0.179,-9.196
"19026",20.000,284.000,200.000,1.000,0.000,0.000,1.000,0.000,-0.752,0.107,-90.000
"19042",5.000,203.000,55.000,1.000,0.000,1.000,0.000,-1.359,-1.055,0.246,-142.175
"19059",5.000,186.000,92.000,0.250,0.750,0.250,0.750,-0.691,-2.033,0.307,-108.785
"19075",20.000,293.000,183.000,1.000,0.000,0.333,0.667,1.650,-0.428,0.244,-14.552
"19257",5.000,233.000,102.000,1.000,0.000,0.600,0.400,0.382,-0.617,0.104,-58.247
"19265",8.000,233.000,95.000,0.000,1.000,0.500,0.500,-0.973,-0.455,0.153,-154.965
"19398",10.000,243.000,93.000,0.667,0.333,0.500,0.500,-0.531,-0.293,0.087,-151.131
"19455",12.000,248.000,142.000,1.000,0.000,0.000,1.000,0.510,-0.138,0.075,-15.204
"19463",20.000,284.000,200.000,1.000,0.000,0.000,1.000,0.000,-0.752,0.107,-90.000
"19513",4.000,210.000,90.000,0.500,0.500,0.500,0.500,-0.674,-0.384,0.111,-150.297
"19554",5.000,193.000,51.000,0.667,0.333,0.400,0.600,-0.726,-1.886,0.289,-111.046
"19612",20.000,277.000,185.000,1.000,0.000,0.400,0.600,0.250,-0.534,0.084,-64.899
"19653",5.000,187.000,71.000,0.000,1.000,0.750,0.250,-2.202,-1.105,0.352,-153.352
"19745",13.000,211.000,104.000,0.500,0.500,0.250,0.750,-0.255,-1.577,0.228,-99.180
"19802",4.000,202.000,24.000,0.667,0.333,1.000,0.000,-1.692,-0.033,0.242,-178.871
"19935",5.000,186.000,58.000,0.333,0.667,0.400,0.600,-1.868,-2.081,0.400,-131.923
"20131",6.000,245.000,139.000,0.750,0.250,0.500,0.500,2.126,0.049,0.304,1.311
"20321",10.000,249.000,171.000,0.750,0.250,0.250,0.750,0.790,-0.162,0.115,-11.576
"20404",10.000,197.000,46.000,1.000,0.000,0.750,0.250,-2.247,-2.102,0.440,-136.908
"20487",5.000,219.000,94.000,0.667,0.333,0.400,0.600,0.507,-0.697,0.123,-53.962
"20495",10.000,231.000,147.000,1.000,0.000,0.667,0.333,0.834,-0.068,0.120,-4.642
"20594",20.000,275.000,190.000,1.000,0.000,0.250,0.750,-0.500,-0.752,0.129,-123.614
"20677",12.000,236.000,127.000,1.000,0.000,0.400,0.600,1.271,-0.469,0.194,-20.256
"20735",10.000,207.000,95.000,0.500,0.500,0.500,0.500,-0.221,-0.544,0.084,-112.085
"20743",3.000,192.000,28.000,1.000,0.000,0.800,0.200,-1.992,-2.811,0.492,-125.316
"20784",10.000,217.000,98.000,1.000,0.000,0.400,0.600,0.511,-0.249,0.081,-25.986
"20818",2.000,195.000,26.000,0.000,1.000,0.500,0.500,-1.750,-1.659,0.344,-136.528
"20826",20.000,291.000,185.000,0.667,0.333,0.000,1.000,1.750,-0.351,0.255,-11.334
"20933",10.000,279.000,178.000,1.000,0.000,0.000,1.000,1.833,0.059,0.262,1.842
"21006",5.000,199.000,51.000,0.667,0.333,0.600,0.400,-1.124,-1.472,0.265,-127.350
"21030",10.000,194.000,58.000,1.000,0.000,1.000,0.000,-1.377,-1.493,0.290,-132.677
"21063",13.000,217.000,112.000,0.000,1.000,0.571,0.429,-0.804,-0.668,0.149,-140.261
"21071",8.000,218.000,98.000,0.500,0.500,0.250,0.750,-0.057,-0.486,0.070,-96.710
"21089",4.000,233.000,113.000,1.000,0.000,0.333,0.667,2.377,-0.039,0.340,-0.949
"21147",7.000,188.000,77.000,1.000,0.000,1.000,0.000,-0.569,-1.249,0.196,-114.500
"21238",14.000,207.000,121.000,0.500,0.500,0.500,0.500,0.101,-0.157,0.027,-57.209
"21287",6.000,193.000,45.000,0.333,0.667,0.500,0.500,-2.110,-1.951,0.411,-137.233
"21303",15.000,219.000,99.000,1.000,0.000,0.750,0.250,-0.569,-0.857,0.147,-123.600
"21352",10.000,263.000,165.000,1.000,0.000,0.333,0.667,1.767,-0.193,0.254,-6.245
"21394",3.000,195.000,75.000,0.000,1.000,1.000,0.000,-2.600,-0.544,0.379,-168.191
"21436",11.000,214.000,115.000,0.400,0.600,0.333,0.667,-0.026,-0.319,0.046,-94.701
"21600",5.000,204.000,50.000,1.000,0.000,0.667,0.333,-1.588,-1.432,0.305,-137.939
"21634",15.000,205.000,51.000,0.667,0.333,0.400,0.600,-1.781,-1.324,0.317,-143.375
"21659",11.000,211.000,92.000,0.333,0.667,0.667,0.333,-1.554,-0.558,0.236,-160.262
"21691",18.000,212.000,108.000,1.000,0.000,1.000,0.000,-2.167,-1.246,0.357,-150.101
"21717",10.000,202.000,100.000,0.500,0.500,0.500,0.500,0.000,-0.734,0.105,-90.000
"21733",2.000,195.000,20.000,0.500,0.500,1.000,0.000,-2.675,-2.642,0.537,-135.364
"21741",20.000,280.000,180.000,1.000,0.000,0.250,0.750,-1.000,-0.752,0.179,-143.051
"21758",20.000,284.000,200.000,1.000,0.000,0.000,1.000,0.000,-0.752,0.107,-90.000
"21816",10.000,196.000,53.000,0.667,0.333,1.000,0.000,-2.242,-1.012,0.351,-155.714
