"ID";"NLL";"InvestorToM";"InvestorPlan";"InvestorGuilt";"InvestorAversion";"InvestorTemp";"InvestorIrrBelief";"InvestorIrritability";"IrrInd"
21006;6.87299817443203;0;4;0.4;1.6;1;3;0;0
21030;5.49552465936817;0;1;0.4;1.4;1;3;0;1
21063;8.96994720063772;4;2;1;1.6;0.5;2;0.5;1
21071;4.0955575766667;4;1;0.4;1.2;1;1;0;1
21147;10.6231611492678;4;2;0.4;1.6;0.5;4;0;1
21238;9.81444347316506;2;2;1;1.8;0.333333333333333;4;0;1
21287;3.02455365724297;4;1;1;1.2;1;1;0;1
21303;7.3801383805702;4;1;1;1.8;1;3;0.25;1
21352;10.6995240684204;2;2;0.4;1;0.333333333333333;3;0;1
21436;10.8068764346969;2;3;1;1.8;0.5;4;0.25;1
21600;0.54091732358537;2;2;0.4;1.6;1;2;1;1
21659;8.35533221890854;4;1;1;1.8;0.5;4;1;1
21741;1.47151497930528;2;3;1;1.2;1;2;1;1
21758;0.00128153209960105;2;4;1;0.4;1;1;0;1
21816;7.79414994301336;4;3;1;0.8;0.333333333333333;1;1;1
21931;9.28781919919068;2;3;1;1.8;0.5;4;0;1
22020;14.6710628084423;2;1;0.4;1.2;0.333333333333333;4;0;1
22053;10.4227216645211;2;1;0;0.8;1;0;0;0
22129;10.2526767072116;4;3;0.4;1.6;1;2;0;0
22152;0.00128153209960105;2;4;1;0.4;1;1;0;1
22160;2.67555708938999;4;1;0.4;0.6;1;0;0;1
22186;12.1012677967369;4;2;0.4;1.4;0.333333333333333;4;0;1
22202;10.1595450273224;2;1;1;1.4;0.5;1;0;0
22236;12.1995912716899;2;4;1;1.4;0.25;3;1;1
22277;0.00128153209960105;2;4;1;0.4;1;1;0;1
22335;2.69499585916895;4;4;0;0.6;1;2;0.5;1
22418;9.5115084331462;2;4;1;1.8;0.5;4;0;1
22442;9.29151244067431;4;1;1;1.8;0.5;3;0.5;1
22467;7.26875166633546;2;3;0.4;1.4;1;0;0;0
22525;11.4796983250141;4;4;0.4;1.8;1;4;0;1
22558;0.468461056695641;4;1;0;0.6;1;3;0;0
22566;12.172457006527;2;1;0;0.8;1;0;0;0
22640;0.00128153209960105;2;4;1;0.4;1;1;0;1
22715;11.6308276336486;4;1;1;1.4;0.5;3;0;0
22723;7.29123469192113;4;3;1;1.8;0.5;1;0.5;1
22822;0.011800714364343;4;4;1;0.4;1;1;1;1
22830;11.3434496264805;4;1;0.4;1.4;0.5;4;0;1
22863;8.19825980158048;4;4;1;1.8;0.5;3;0;1
22871;2.6922419136916;2;4;1;1.8;1;4;0;1
22889;15.3974763723823;4;2;0.4;1.4;0.25;4;0;1
22897;7.39604537046149;4;4;1;1.6;0.5;0;0.25;1
22905;12.1985603126777;4;1;0.4;0.8;1;0;0;0
23077;9.05682381813551;4;1;1;1.6;0.5;4;0;1
23150;0.173063608076168;4;2;0;1;1;1;0;1
23168;10.7407750780077;2;1;1;1.2;0.5;0;0;1
23176;15.3667507520979;4;1;0;1.2;0.25;4;1;1
23218;0.000700759814429605;2;2;1;0.4;1;3;0;1
23275;5.74571391690464;2;4;1;1.8;0.5;2;0;0
23283;7.85719884949076;2;3;1;1.8;0.5;4;0;1
23317;1.79449627164429;2;4;1;1.4;1;1;0;1
23390;11.4009806441612;4;1;1;1.8;0.333333333333333;4;0;0
23416;13.1663536671681;4;4;1;1.4;0.25;2;0;1
23499;2.68454291084056;4;1;0.4;1;1;2;0;1
23523;1.94754552644671;4;1;1;1.2;1;1;1;1
23531;6.92675586667954;4;1;1;1.8;0.5;4;0;0
23648;6.76547659101121;2;1;0.4;1.6;1;1;0.5;1
23713;6.45577891602133;4;1;0.4;1.4;0.5;4;1;1
23747;9.08549670329968;2;1;0.4;1.2;1;3;0;1
23838;13.8125083826033;4;4;1;1.4;0.25;2;0;1
23986;6.06965188055173;2;3;1;1.4;1;0;0;1
24059;5.17637697092695;2;3;1;0.8;0.5;0;0;1
24091;11.1863476866245;2;1;1;1.2;0.333333333333333;4;0;1
24125;4.83042176610779;2;4;1;1.4;0.5;1;0;1
24190;10.3148162766478;4;2;0.4;1.2;1;0;0;1
24216;6.99716195734694;4;1;1;1.8;0.5;3;0;1
24281;13.7739027976266;4;2;1;1.8;0.25;4;0;1
24307;14.5728669048608;2;4;0;1;0.333333333333333;0;1;1
24349;6.53694162870732;4;1;1;1.8;0.5;1;0.5;1
24356;9.56616305555047;4;4;1;1.8;0.333333333333333;3;0.25;1
24406;4.89690917252729;2;4;1;1.8;1;4;0;1
24430;0.00128153209960105;2;4;1;0.4;1;1;0;1
24463;7.92165031132316;0;4;0.4;1.2;1;3;0;0
24471;5.23665946304796;2;2;0.4;1.6;1;2;1;1
24489;8.55006651959693;4;4;1;1.6;0.5;1;1;1
24711;11.1478908821055;4;1;1;1.6;0.25;4;0;0
