"","subject","mops_mat_abuse","mops_mat_indiff","mops_mat_control","mops_pat_abuse","mops_pat_indiff","mops_pat_control","apq_positive","apq_inconsistent","apq_poorsup","apq_involve","apq_punish","ELST1","ELSIT1"
"217",23077,1,0,4,1,0,4,9,11,6,8,3,0.496511954905787,-0.496511954905787
"218",16907,0,0,2,1,0,1,11,3,7,9,3,-2.74830233164971,2.74830233164971
"219",10710,0,0,3,5,5,4,9,5,6,9,3,3.28371717128822,-3.28371717128822
"220",40386,1,0,2,0,0,2,12,6,7,12,5,-3.38267121140834,3.38267121140834
"221",17368,2,2,6,4,2,5,11,7,7,7,3,3.61404541871115,-3.61404541871115
"222",41798,0,11,1,0,18,0,7,7,13,9,3,12.749615616359,-12.749615616359
"223",19463,0,0,2,0,4,1,8,3,3,9,3,-0.591284247490852,0.591284247490852
"224",28209,2,5,8,3,8,5,9,7,8,9,6,8.67415942942516,-8.67415942942516
"225",11668,3,1,4,2,0,2,11,9,9,10,3,0.0726069079261492,-0.0726069079261492
"227",31500,0,0,1,4,0,6,12,8,5,11,6,-1.21582490258617,1.21582490258617
"228",28159,0,2,1,0,0,0,3,6,3,3,3,1.10006125767283,-1.10006125767283
"229",46425,0,4,1,0,4,1,8,3,8,4,3,2.83401348607465,-2.83401348607465
"230",12963,1,0,3,1,0,2,11,4,4,10,3,-2.8505624276104,2.8505624276104
"231",37002,0,0,0,0,0,0,12,6,12,11,4,-3.38963723713669,3.38963723713669
"233",43794,0,3,4,0,5,5,10,5,5,11,3,1.66027358314763,-1.66027358314763
"234",10364,0,0,4,0,0,7,13,10,5,8,3,-1.01204282454279,1.01204282454279
"235",26799,0,1,5,0,1,2,12,5,9,9,3,-0.86100357912987,0.86100357912987
"236",30981,0,0,3,0,0,2,14,4,8,15,3,-5.2036962344874,5.2036962344874
"237",23184,2,1,6,1,0,1,7,7,5,7,3,1.10901090097036,-1.10901090097036
"238",36228,1,0,9,1,5,4,11,3,10,7,4,4.4408833685551,-4.4408833685551
"239",27847,0,0,0,1,1,0,14,5,7,12,3,-4.75910724976293,4.75910724976293
"241",28068,0,0,2,0,0,2,12,5,7,10,3,-3.2829069940092,3.2829069940092
"243",45450,2,6,8,0,3,4,3,5,10,4,3,8.29602283895083,-8.29602283895083
"244",31872,3,1,4,0,3,0,7,3,7,12,6,0.573395484781715,-0.573395484781715
"245",24562,2,1,4,3,5,5,10,3,3,10,3,2.2551436858685,-2.2551436858685
"246",39610,0,0,3,0,0,4,14,14,4,11,9,-2.43687784988455,2.43687784988455
"247",17160,0,0,0,0,0,0,10,5,3,10,6,-4.15963327281093,4.15963327281093
"248",25288,0,0,2,0,0,1,11,7,6,9,3,-2.8483571770374,2.8483571770374
"249",36475,1,0,1,0,0,1,9,6,7,9,3,-2.13640683826582,2.13640683826582
"251",29207,0,1,1,0,1,3,9,4,7,10,5,-1.3193885931341,1.3193885931341
"252",48272,0,0,2,0,1,2,14,5,5,9,5,-3.27794078341004,3.27794078341004
"253",12930,0,0,4,0,0,2,6,10,4,7,4,0.379369078638256,-0.379369078638256
"255",41046,2,2,6,4,11,1,6,9,9,6,3,10.5003757951643,-10.5003757951643
"256",41723,3,1,7,1,1,4,12,8,9,11,3,0.863533733829074,-0.863533733829074
"257",20271,0,0,0,0,0,0,11,6,8,9,3,-3.35569660610571,3.35569660610571
"258",26047,1,0,2,1,0,2,12,3,4,12,3,-4.23412518364343,4.23412518364343
"259",14878,0,0,2,0,0,1,12,7,4,11,3,-4.25764755784256,4.25764755784256
"260",31963,0,0,3,0,0,1,9,7,5,10,3,-2.40375712519764,2.40375712519764
"262",11650,0,0,2,0,0,2,15,8,4,11,3,-4.93266222602598,4.93266222602598
"263",18929,1,0,4,0,2,4,13,8,5,11,3,-1.60634636133092,1.60634636133092
"264",22715,0,0,1,0,0,1,11,6,5,12,3,-4.41526144602807,4.41526144602807
"265",36426,1,0,3,1,0,0,12,8,7,12,3,-3.25278766236179,3.25278766236179
"266",20727,0,0,1,0,0,1,15,6,5,13,4,-6.01359417729392,6.01359417729392
"268",39933,0,0,6,0,2,2,13,4,5,11,3,-2.21226655320198,2.21226655320198
"269",30601,0,0,1,0,0,1,15,4,4,13,3,-6.56614470920246,6.56614470920246
"270",42606,0,0,1,0,0,0,12,3,3,5,3,-3.53890333553022,3.53890333553022
"271",30502,0,0,1,0,0,1,10,3,3,5,3,-2.59117049159729,2.59117049159729
"272",27664,1,1,5,1,1,4,14,9,3,12,3,-2.2643244297045,2.2643244297045
"273",25650,0,0,3,0,0,4,15,8,5,12,3,-4.25674637879378,4.25674637879378
"274",27813,3,2,7,5,8,6,9,8,7,11,6,8.02181610905879,-8.02181610905879
"275",44941,1,2,3,1,0,3,8,7,6,6,3,1.01760332566108,-1.01760332566108
"276",44644,0,0,2,0,0,0,12,8,6,11,3,-3.9743126018424,3.9743126018424
"277",46326,2,3,3,4,10,2,8,10,8,12,4,6.99761526913188,-6.99761526913188
"278",26013,0,0,0,0,0,0,12,5,6,10,7,-4.11095231892289,4.11095231892289
"279",46177,3,3,4,6,10,6,8,4,10,5,3,11.0505811409122,-11.0505811409122
"280",33688,0,1,0,0,0,1,10,7,6,9,3,-2.79880369579357,2.79880369579357
"281",48413,0,0,4,0,0,4,14,8,7,12,3,-3.20773999669002,3.20773999669002
"282",19711,1,3,8,1,2,4,11,7,3,11,3,0.812087953306819,-0.812087953306819
"283",27771,0,1,1,0,1,0,12,11,10,11,3,-2.22851814016045,2.22851814016045
"284",38927,0,1,0,0,0,1,15,6,6,12,3,-5.61244870111344,5.61244870111344
"285",34801,8,3,12,9,5,10,10,10,7,10,7,11.688215362971,-11.688215362971
"286",40782,3,1,4,5,4,3,8,7,7,6,5,5.57617076091883,-5.57617076091883
"287",38026,0,0,0,0,0,0,11,7,8,12,5,-3.97748926549864,3.97748926549864
"288",44149,0,0,6,0,0,5,11,8,8,9,3,-0.180092731669153,0.180092731669153
"289",41731,0,0,0,0,0,1,12,8,4,11,3,-4.70352770481063,4.70352770481063
"290",14951,2,0,6,2,0,5,6,9,13,5,5,5.33273308241674,-5.33273308241674
"291",19885,0,0,2,0,0,2,14,5,7,11,3,-4.29832345320354,4.29832345320354
"292",29512,0,0,4,0,0,4,7,3,3,10,3,-1.55108642152484,1.55108642152484
"293",17533,1,1,5,1,0,1,11,10,14,6,3,1.79670923380383,-1.79670923380383
"294",17475,4,2,9,0,5,1,11,7,7,8,7,4.30861005821513,-4.30861005821513
"295",43216,5,5,3,7,4,5,7,10,13,10,8,8.96487864489159,-8.96487864489159
"296",27623,3,3,5,3,0,6,7,5,8,8,5,3.82344983786327,-3.82344983786327
"297",15859,0,0,6,1,2,9,6,8,8,7,4,4.82321867880671,-4.82321867880671
"298",36921,0,0,2,2,0,4,14,3,5,13,3,-4.3861221513629,4.3861221513629
"299",26138,0,0,3,1,0,5,14,4,5,13,4,-3.97521647450229,3.97521647450229
"300",32177,0,0,2,0,0,1,11,5,11,7,3,-1.38486818063626,1.38486818063626
"301",20172,0,0,2,0,0,4,12,3,3,13,3,-4.81061157381277,4.81061157381277
"302",11551,0,0,2,0,0,1,9,3,3,8,3,-2.92426359460314,2.92426359460314
"305",32581,0,0,2,1,5,2,12,7,7,8,3,0.819129261732554,-0.819129261732554
"306",27326,0,0,2,0,0,0,12,5,4,13,3,-5.38086143578468,5.38086143578468
"307",32417,0,0,0,0,0,0,13,3,3,11,3,-6.08891423593412,6.08891423593412
"308",32201,0,0,2,0,0,3,14,3,4,11,3,-4.90712223055702,4.90712223055702
"309",41244,0,0,0,0,0,2,13,4,9,7,8,-2.36330977695575,2.36330977695575
"311",30908,0,6,0,1,0,7,9,7,7,9,3,0.938626509139665,-0.938626509139665
"312",22574,0,2,2,6,2,7,11,9,5,6,3,3.42201681436712,-3.42201681436712
"313",27722,0,0,3,0,0,2,13,8,8,8,8,-1.59324408457385,1.59324408457385
"314",10041,0,0,2,0,0,1,11,5,7,11,3,-3.50837737231999,3.50837737231999
"315",19901,0,0,1,0,0,3,9,8,6,10,3,-2.13378231549984,2.13378231549984
"316",25551,0,0,4,0,0,2,12,4,10,10,3,-2.20542962108159,2.20542962108159
"317",29850,1,0,1,1,0,1,11,6,5,13,3,-4.18467469503473,4.18467469503473
"318",23879,2,0,5,2,0,1,10,5,12,7,3,1.11628063300469,-1.11628063300469
"319",23101,0,0,2,0,0,0,10,7,8,3,3,-0.410348513167573,0.410348513167573
"321",10702,0,0,2,0,0,1,11,6,7,10,3,-3.07310107035211,3.07310107035211
"322",27433,6,6,4,15,18,9,6,6,14,6,15,23.7494957945374,-23.7494957945374
"323",24570,0,0,3,2,10,0,14,9,4,11,3,1.76785550707083,-1.76785550707083
"324",20230,2,2,9,4,5,4,9,7,5,11,7,5.37319120973926,-5.37319120973926
"325",27425,0,1,2,0,2,4,9,6,9,8,3,0.857432399092478,-0.857432399092478
"326",31146,0,1,2,0,1,4,9,8,4,7,4,-0.109313744504506,0.109313744504506
"327",38745,0,0,1,0,0,2,10,3,5,7,3,-2.55813417882009,2.55813417882009
"328",32359,0,0,6,0,0,2,9,8,9,12,5,-0.769196647201463,0.769196647201463
"329",14654,2,4,1,0,0,1,11,11,7,8,4,-0.571320581047924,0.571320581047924
"330",59121,0,0,4,5,18,2,9,3,5,6,3,11.0732523039639,-11.0732523039639
"331",44537,0,0,0,0,0,0,10,3,9,8,3,-2.82207776132188,2.82207776132188
"332",34405,0,0,5,0,0,1,12,9,10,11,4,-1.81121764316582,1.81121764316582
"333",12740,0,0,1,0,0,3,12,8,6,5,3,-1.57466522405098,1.57466522405098
"334",26369,0,0,1,0,0,1,10,6,7,10,3,-3.00597106522291,3.00597106522291
"335",43638,0,0,1,2,10,2,11,3,9,10,3,3.43839230663806,-3.43839230663806
"336",25668,0,1,2,0,1,2,11,8,6,13,5,-2.69855708288883,2.69855708288883
"337",30262,1,0,6,0,1,1,11,8,7,10,3,-0.943484460035218,0.943484460035218
"338",41137,2,3,4,1,10,0,10,6,6,8,3,5.31831645953056,-5.31831645953056
"339",40857,1,1,0,11,3,8,7,6,4,5,3,6.53056975837936,-6.53056975837936
"340",15420,0,3,3,0,1,1,6,7,7,8,3,1.0655397062345,-1.0655397062345
"341",36277,0,0,1,0,0,1,15,9,8,13,3,-5.14935801108906,5.14935801108906
"342",29603,0,0,3,0,1,1,14,7,5,12,4,-4.09352341784035,4.09352341784035
"343",20388,1,0,4,0,0,2,11,12,6,13,3,-2.53992328420716,2.53992328420716
"344",11965,1,0,1,1,0,1,12,5,5,12,4,-4.21464170557532,4.21464170557532
"346",26518,0,0,3,0,0,0,12,5,4,9,3,-3.81907609887958,3.81907609887958
